Event	ID	Name			Wwise Object Path	Notes
	102964689	Granchio_Death			\Default Work Unit\Enemies\Granchio\Granchio_Death	
	358356960	Esploratori_Melee_Attack_Light			\Default Work Unit\Enemies\Esploratori\Esploratori_Melee\Esploratori_Melee_Attack_Light	
	741717682	Granchio_Movement			\Default Work Unit\Enemies\Granchio\Granchio_Movement	
	779649011	Fumo_Barriera			\Default Work Unit\Enemies\Fumo_Barriera	
	918533762	Esploratori_Range_Death			\Default Work Unit\Enemies\Esploratori\Esploratori_Range\Esploratori_Range_Death	
	1065988030	Esploratori_Range_Attack_Fionda			\Default Work Unit\Enemies\Esploratori\Esploratori_Range\Esploratori_Range_Attack_Fionda	
	1305461393	Esploratori_Melee_Attack_Heavy			\Default Work Unit\Enemies\Esploratori\Esploratori_Melee\Esploratori_Melee_Attack_Heavy	
	1345158766	Esploratori_Melee_Movement			\Default Work Unit\Enemies\Esploratori\Esploratori_Melee\Esploratori_Melee_Movement	
	1417561903	Medusa_Idle			\Default Work Unit\Enemies\Medusa\Medusa_Idle	
	1612025955	Esploratori_Range_Movement			\Default Work Unit\Enemies\Esploratori\Esploratori_Range\Esploratori_Range_Movement	
	1654594242	Medusa_Movement			\Default Work Unit\Enemies\Medusa\Medusa_Movement	
	1791450527	Granchio_Idle			\Default Work Unit\Enemies\Granchio\Granchio_Idle	
	1827692119	Esploratori_Range_Damage			\Default Work Unit\Enemies\Esploratori\Esploratori_Range\Esploratori_Range_Damage	
	2094926061	Granchio_Attack_Heavy			\Default Work Unit\Enemies\Granchio\Granchio_Attack_Heavy	
	2343704765	Esploratori_Range_Attack_Light			\Default Work Unit\Enemies\Esploratori\Esploratori_Range\Esploratori_Range_Attack_Light	
	2712953313	Medusa_Death			\Default Work Unit\Enemies\Medusa\Medusa_Death	
	3290449462	Esploratori_Fionda_Impact_Ground			\Default Work Unit\Enemies\Esploratori\Esploratori_Range\Esploratori_Fionda_Impact_Ground	
	3402931632	Esploratori_Idle			\Default Work Unit\Enemies\Esploratori\Esploratori_Idle	
	3526485302	Esploratori_Melee_Damage			\Default Work Unit\Enemies\Esploratori\Esploratori_Melee\Esploratori_Melee_Damage	
	3539634845	Esploratori_Melee_Death			\Default Work Unit\Enemies\Esploratori\Esploratori_Melee\Esploratori_Melee_Death	
	3667127812	Granchio_Attack_Light			\Default Work Unit\Enemies\Granchio\Granchio_Attack_Light	
	3783657304	Esploratori_Range_Attack_Heavy			\Default Work Unit\Enemies\Esploratori\Esploratori_Range\Esploratori_Range_Attack_Heavy	
	4264334010	Granchio_Damage			\Default Work Unit\Enemies\Granchio\Granchio_Damage	

Game Parameter	ID	Name			Wwise Object Path	Notes
	2152744325	Kria_Health			\Default Work Unit\Kria\Kria_Health	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	6884329	granchio_voice_pain_001	C:\Users\anty\Desktop\Prototipo Tesi 7.1\Prototipo Tesi 7.1\Prototipo Tesi 7.1\.cache\Windows\SFX\granchio_voice_pain_001_487203A3.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Enemies\Enemies\Granchio\Granchio_Voice_Damage\granchio_voice_pain_001		19697
	11064735	dissolvenza_death_001	C:\Users\anty\Desktop\Prototipo Tesi 7.1\Prototipo Tesi 7.1\Prototipo Tesi 7.1\.cache\Windows\SFX\dissolvenza_death\dissolvenza_death_001_AC1D8A11.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\VFX\VFX\dissolvenza_death\dissolvenza_death_001		69735
	18183436	Esploratore_Voice_death_001	C:\Users\anty\Desktop\Prototipo Tesi 7.1\Prototipo Tesi 7.1\Prototipo Tesi 7.1\.cache\Windows\SFX\Esploratore_Voice_death_001_6BBEAB98.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Enemies\Enemies\Esploratori\Esploratore_Voice_Death\Esploratore_Voice_death_001		56472
	18905983	esploratori_death_body_fall_bastone_002	C:\Users\anty\Desktop\Prototipo Tesi 7.1\Prototipo Tesi 7.1\Prototipo Tesi 7.1\.cache\Windows\SFX\esploratori_death\esploratori_death_body_fall_bastone\esploratori_death_body_fall_bastone_002_2F2F3E9F.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Enemies\Enemies\Esploratori\esploratori_death_Body_Fall\esploratori_death_body_fall_bastone\esploratori_death_body_fall_bastone_002		39623
	32681690	esploratore_movement_cloth_002	C:\Users\anty\Desktop\Prototipo Tesi 7.1\Prototipo Tesi 7.1\Prototipo Tesi 7.1\.cache\Windows\SFX\esploratori_movement_cloth\esploratore_movement_cloth_002_696D8321.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Enemies\Enemies\Esploratori\esploratori_movement_cloth\esploratore_movement_cloth_002		15584
	34275093	esploratore_weapon_impact_fionda_ground_003	C:\Users\anty\Desktop\Prototipo Tesi 7.1\Prototipo Tesi 7.1\Prototipo Tesi 7.1\.cache\Windows\SFX\esploratore_weapon_impact_fionda_ground\esploratore_weapon_impact_fionda_ground_003_2D967645.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Enemies\Enemies\Esploratori\Esploratori_Weapon_Impact\esploratore_weapon_impact_fionda_ground\esploratore_weapon_impact_fionda_ground_003		23131
	35907420	granchio_attack_swish_002	C:\Users\anty\Desktop\Prototipo Tesi 7.1\Prototipo Tesi 7.1\Prototipo Tesi 7.1\.cache\Windows\SFX\granchio_attack_swish\granchio_attack_swish_002_F507E3A9.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Enemies\Enemies\Granchio\Granchio_Attack_Light\granchio_attack_swish\granchio_attack_swish_002		14294
	38524668	esploratore_voice_attacco_coltello_squarcio_003	C:\Users\anty\Desktop\Prototipo Tesi 7.1\Prototipo Tesi 7.1\Prototipo Tesi 7.1\.cache\Windows\SFX\esploratore_voice_attack_coltello_squarcio\esploratore_voice_attacco_coltello_squarcio_003_2F75EC78.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Enemies\Enemies\Esploratori\Esploratori_Voice_Attack\esploratore_voice_attack_coltello_squarcio\esploratore_voice_attacco_coltello_squarcio_003		24375
	40850543	granchio_footsteps_stone_002	C:\Users\anty\Desktop\Prototipo Tesi 7.1\Prototipo Tesi 7.1\Prototipo Tesi 7.1\.cache\Windows\SFX\granchio_footsteps_stone_002_84875D65.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Enemies\Enemies\Granchio\Granchio_Attack_Heavy\Granchio_Footsteps_Concrete\granchio_footsteps_stone_002		12385
	46889315	granchio_movement_004	C:\Users\anty\Desktop\Prototipo Tesi 7.1\Prototipo Tesi 7.1\Prototipo Tesi 7.1\.cache\Windows\SFX\granchio_movement\granchio_movement_004_74798D87.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Enemies\Enemies\Granchio\Granchio_Noise\granchio_movement_004		60127
